Receipt #,Word,POS,Tag
,TEL:,NN,O
,03-,NN,O
,55423228,NN,O
,GST,NN,O
,ID:,NN,O
,000381399040,NN,O
,TAX,NN,O
,INVOICE,NN,O
,/,NN,O
,ADJUSTMENT,NN,O
,NOTE,NN,O
,CASH,NN,O
,INV,NN,O
,NO.:,NN,O
,7030F715,NN,O
,VI,NN,O
,DATE:,NN,O
,30/10/2017,DT,B-date
,MAKASSAR,NN,O
,FRESH,NN,O
,MARKET,NN,O
,SDN,NN,O
,BHD,NN,O
,GROUND,NN,O
,FLOOR,NN,O
,JALAN,NN,O
,SS,NN,O
,15/4B,NN,O
,47500,NN,O
,SUBANG,NN,O
,JAYA,NN,O
,VE05:,NN,O
,RIDZUAN,NN,O
,(11900),NN,O
,DD:,NN,O
,30/10/2017,NN,O
,DESCR,NN,O
,U.P,NN,O
,ISS,NN,O
,EXC,NN,O
,D,NN,O
,SALE,NN,O
,AMT(RM),NN,O
,O.C.,NN,O
,WHITE,NN,O
,2.13,NN,O
,3,NN,O
,0,NN,O
,0,NN,O
,3,NN,O
,6.39,NN,O
,WHOLEMEAL,NN,O
,2.78,NN,O
,3,NN,O
,0,NN,O
,0,NN,O
,3,NN,O
,8.34,NN,O
,O.C,NN,O
,JUMBO,NN,O
,2.97,NN,O
,4,NN,O
,0,NN,O
,0,NN,O
,4,NN,O
,11.88,NN,O
,TOTAL,NN,O
,0%,NN,O
,SUPPLIES:,NN,O
,26.61,NN,O
,DELICIA-B/SCOTCH,NN,O
,3.72,NN,O
,3,NN,O
,0,NN,O
,0,NN,O
,3,NN,O
,11.16,NN,O
,CR-CHOCLT,NN,O
,0.72,NN,O
,20,NN,O
,0,NN,O
,0,NN,O
,20,NN,O
,14.40,NN,O
,BUN-SBILIS,NN,O
,0.84,NN,O
,10,NN,O
,0,NN,O
,0,NN,O
,10,NN,O
,8.40,NN,O
,TOTAL,NN,O
,6%,NN,O
,SUPPLIES,NN,O
,(EXCL.,NN,O
,GST):,NN,O
,33.96,NN,O
,GST:,NN,O
,2.03,NN,O
,TOTAL,NN,O
,6%,NN,O
,SUPPLIES,NN,O
,(INC.,NN,O
,GST):,NN,O
,35.99,NN,O
,TOTAL,NN,O
,0%,NN,O
,SUPPLIES:,NN,O
,26.61,NN,O
,TOTAL,NN,O
,PAYABLE:,NN,O
,62.60,AM,B-amt
,E.&.0.E.,NN,O
,RECEIVED,NN,O
,ABOVE,NN,O
,GOODS,NN,O
,IN,NN,O
,GOOD,NN,O
,ORDER,NN,O
,CONDITION.,NN,O
,THE,NN,O
,RECIPIENT,NN,O
,OF,NN,O
,GARDENIA'S,NN,O
,PRODUCTS,NN,O
,IS,NN,O
,REQUIRED,NN,O
,TO,NN,O
,MAKE,NN,O
,NECESSARY,NN,O
,ADJUSTMENTS,NN,O
,TO,NN,O
,ITS,NN,O
,INPUT,NN,O
,TAX,NN,O
,CLAIMS,NN,O
,ADJUSTMENTS,NN,O
,SHOWN,NN,O
,IN,NN,O
,THIS,NN,O
,TAX,NN,O
,INVOICE,NN,O
,/,NN,O
,ADJUSTMENT,NN,O
,NOTE,NN,O
,CUSTOMER'S,NN,O
,COPY,NN,O
,FAX:03-,NN,O
,55423213,NN,O
,12:30,NN,O
,ON,NN,O
,,NN,O
Receipt: 3,aco,MR,B-mer
,RESTAURANTS,MR,I-mer
,INC.,MR,I-mer
,King,NN,O
,Taco,NN,O
,#,NN,O
,30,NN,O
,Exquisitemente,NN,O
,.,NN,O
,.,NN,O
,a,NN,O
,la,NN,O
,Mexicana,NN,O
,1,NN,O
,SOPE,NN,O
,ASADA,NN,O
,3.,NN,O
,10,NN,O
,CON,NN,O
,TODO,NN,O
,COPA,NN,O
,S.,NN,O
,ROJA,NN,O
,1,NN,O
,TACO,NN,O
,ASADA,NN,O
,1.59,NN,O
,CON,NN,O
,CEBOLLA,NN,O
,COPA,NN,O
,S.,NN,O
,ROJA,NN,O
,1,NN,O
,TACO,NN,O
,PASTOR,NN,O
,1.59,NN,O
,NO,NN,O
,CEBOLLA,NN,O
,COPA,NN,O
,S.ROJA,NN,O
,1,NN,O
,QUESADILLA,NN,O
,ASADA,NN,O
,4.89,NN,O
,1,NN,O
,ORDEN,NN,O
,CHIPS,NN,O
,1.50,NN,O
,Sub/Tt1,NN,O
,12.67,NN,O
,Tax,NN,O
,8.,NN,O
,75%,NN,O
,1.,NN,O
,11,NN,O
,TO-GO,NN,O
,13.78,AM,B-amt
,VISA,NN,O
,13.78,NN,O
,Acct,NN,O
,:,NN,O
,XXXXXXXXXXXX6381,NN,O
,Auth:,NN,O
,042402,NN,O
,Trans,NN,O
,ID:,NN,O
,274999,NN,O
,3/17/17,DT,B-date
,Cashier,NN,O
,12875,NN,O
,CYNTHIA,NN,O
,11:24pm,NN,O
,Terminal,NN,O
,01,NN,O
,RECIBO,NN,O
,#,NN,O
,10368,NN,O
,NUMERO,NN,O
,DE,NN,O
,ORDEN,NN,O
,154,NN,O
,Muchas,NN,O
,Gracias,NN,O
,por,NN,O
,su,NN,O
,visita!,NN,O
Receipt: 4,MR.,MR,B-mer
,D.I.Y.,MR,I-mer
,SDN,MR,I-mer
,BHD,MR,I-mer
,(CO.REG,NN,O
,:704427-T),NN,O
,LOT,NN,O
,1851-A,NN,O
,&,NN,O
,1851-B,NN,O
,KAWASAN,NN,O
,PERINDUSTRIAN,NN,O
,BALAKONG,NN,O
,43300,NN,O
,SERI,NN,O
,KEMBANGAN,NN,O
,(GST,NN,O
,ID,NN,O
,NO,NN,O
,:001092886528),NN,O
,(CHERAS,NN,O
,LEISURE,NN,O
,MALL),NN,O
,TAX,NN,O
,INVOICE-,NN,O
,BATTERY,NN,O
,LR03-4B,NN,O
,AAA,NN,O
,4,NN,O
,PCS,NN,O
,*S,NN,O
,XC12,NN,O
,-,NN,O
,12/144,NN,O
,9021937,NN,O
,1,NN,O
,X,NN,O
,3.90,NN,O
,3.90,NN,O
,STRICTLY,NN,O
,NO,NN,O
,CASH,NN,O
,REFUND.,NN,O
,ITEM(S),NN,O
,:,NN,O
,1,NN,O
,QTY(S),NN,O
,:,NN,O
,1,NN,O
,TOTAL,NN,O
,INCL.,NN,O
,GST@6%,NN,O
,RM,NN,O
,3.90,NN,O
,CASH,NN,O
,RM,NN,O
,4.00,NN,O
,CHANGE,NN,O
,RM,NN,O
,0.10,NN,O
,GST,NN,O
,SUMMARY,NN,O
,AMT(RM),NN,O
,TAX(RM),NN,O
,GST,NN,O
,S@6%,NN,O
,3.68,NN,O
,0.22,NN,O
,24-11-17,DT,B-date
,13:11,NN,O
,SH01,NN,O
,ZT09,NN,O
,T2,NN,O
,R000011248,NN,O
,OPERATOR,NN,O
,TRAINEE,NN,O
,CASHIER,NN,O
,EXCHANGE,NN,O
,ARE,NN,O
,ALLOWED,NN,O
,WITHIN,NN,O
,7,NN,O
,DAYS,NN,O
,WITH,NN,O
,RECEIPT.,NN,O
,,NN,O
Receipt: 5,RESTORAN,MR,B-mer
,WAN,MR,I-mer
,SHENG,MR,I-mer
,002043319-W,NN,O
,NO.2,NN,O
,SEKSYEN,NN,O
,9,NN,O
,43200,NN,O
,CHERAS,NN,O
,GST,NN,O
,REG,NN,O
,NO:,NN,O
,001355787520,NN,O
,INV,NN,O
,NO.:,NN,O
,1054650,NN,O
,CASHIER:,NN,O
,THANDAR,NN,O
,DATE,NN,O
,:,NN,O
,21-03-2018,DT,B-date
,16:08:24,NN,O
,DESCRIPTION,NN,O
,QTY,NN,O
,U.PRICE,NN,O
,TOTAL,NN,O
,TAX,NN,O
,TEH,NN,O
,(B),NN,O
,2,NN,O
,X,NN,O
,2.20,NN,O
,4.40,NN,O
,SR,NN,O
,BUNGA,NN,O
,KEKWA,NN,O
,1,NN,O
,X,NN,O
,1.70,NN,O
,1.70,NN,O
,SR,NN,O
,TAKE,NN,O
,AWAY,NN,O
,3,NN,O
,X,NN,O
,0.20,NN,O
,0.60,NN,O
,SR,NN,O
,TATAL,NN,O
,QTY:6,NN,O
,TOTAL,NN,O
,(EXCLUDING,NN,O
,GST):,NN,O
,6.33,NN,O
,GST,NN,O
,PAYABLE,NN,O
,(6%):,NN,O
,0.37,NN,O
,TOTAL,NN,O
,(INCLUSIVE,NN,O
,OF,NN,O
,GST):,NN,O
,6.70,AM,B-amt
,TOTAL:,NN,O
,6.70,NN,O
,CASH:,NN,O
,6.70,NN,O
,GST,NN,O
,SUMMARY,NN,O
,AMOUNT,NN,O
,(RM),NN,O
,TAX,NN,O
,(RM),NN,O
,SR,NN,O
,(@,NN,O
,6%),NN,O
,6.33,NN,O
,0.37,NN,O
,TAX,NN,O
,INVOICE,NN,O
,,NN,O
Receipt: 6,MOD,MR,B-mer
,Pizza,MR,I-mer
,26902,NN,O
,92nd,NN,O
,Ave,NN,O
,NW,NN,O
,Suite,NN,O
,A,NN,O
,Stanwood,NN,O
,WA,NN,O
,98292,NN,O
,Phone,NN,O
,360.205,NN,O
,.,NN,O
,9680,NN,O
,5/19/2019,DT,B-date
,4:06:54,NN,O
,PM,NN,O
,Order,NN,O
,Id:,NN,O
,AABT4HN6ACCM,NN,O
,#77,NN,O
,-,NN,O
,HERE,NN,O
,Draft,NN,O
,Beer,NN,O
,(2,NN,O
,0,NN,O
,4.97),NN,O
,Fountain,NN,O
,Drink,NN,O
,(160z),NN,O
,$9,NN,O
,.94,NN,O
,MOD,NN,O
,Pizza,NN,O
,$2.,NN,O
,17,NN,O
,Mini,NN,O
,MOD,NN,O
,$8.67,NN,O
,$6.67,NN,O
,Sub,NN,O
,Total,NN,O
,$27,NN,O
,.,NN,O
,45,NN,O
,Sales,NN,O
,Tax,NN,O
,Order,NN,O
,Total,NN,O
,$2.53,NN,O
,$29.98,NN,O
,Visa,NN,O
,+,NN,O
,Tip:,NN,O
,$29.98,NN,O
,Card#:,NN,O
,*****#$1***3352,NN,O
,$3.59,NN,O
,210160,NN,O
Receipt: 7,ADVANCO,MR,B-mer
,COMPANY,MR,I-mer
,COMPANY,NN,O
,REG.,NN,O
,NO.,NN,O
,:,NN,O
,725186-V,NN,O
,NO,NN,O
,1&3,NN,O
,WANGSA,NN,O
,LINK,NN,O
,53300,NN,O
,KUALA,NN,O
,LUMPUR,NN,O
,03-41318972,NN,O
,GST,NN,O
,REG,NN,O
,:,NN,O
,001658445824,NN,O
,TAX,NN,O
,INVOICE,NN,O
,CB#,NN,O
,:,NN,O
,M#,NN,O
,:,NN,O
,CASHIER,NN,O
,:,NN,O
,389772,NN,O
,M1,NN,O
,-,NN,O
,0,NN,O
,C1000-,NN,O
,17/01/2018,DT,B-date
,8:08:53,NN,O
,QTY,NN,O
,DESCRIPTION,NN,O
,PRICE,NN,O
,TOTAL,NN,O
,CANON,NN,O
,PG-47BK,NN,O
,E400,NN,O
,BLACK,NN,O
,FINE,NN,O
,(,NN,O
,SR,NN,O
,1,NN,O
,27736,NN,O
,29.00,AM,B-amt
,29.00,NN,O
,1,NN,O
,TYPE:,NN,O
,1,NN,O
,TOTAL,NN,O
,29.00,NN,O
,ROUNDING,NN,O
,ADJ,NN,O
,0.00,NN,O
,TOTAL,NN,O
,INCLUSIVE,NN,O
,GST:,NN,O
,CASH,NN,O
,CHANGE,NN,O
,GST,NN,O
,SUMMARY,NN,O
,CODE,NN,O
,SR,NN,O
,%,NN,O
,6%,NN,O
,NET,NN,O
,AMT,NN,O
,27.36,NN,O
,GST,NN,O
,1.64,NN,O
,TOTAL,NN,O
,27.36,NN,O
,1.64,NN,O
,29.00,NN,O
,50.00,NN,O
,21.00,NN,O
,TOTAL,NN,O
,29.00,NN,O
,29.00,NN,O
,THANK,NN,O
,YOU,NN,O
,&,NN,O
,PLEASE,NN,O
,COME,NN,O
,AGAIN.,NN,O
,GOODS,NN,O
,SOLD,NN,O
,ARE,NN,O
,NOT,NN,O
,RETURNABLE,NN,O
,FOR,NN,O
,REFUND,NN,O
,OR,NN,O
,EXCHANGE,NN,O
,!!,NN,O
,,NN,O
Receipt: 8,RESTORAN,MR,B-mer
,WAN,MR,I-mer
,SHENG,MR,I-mer
,002043319-W,NN,O
,NO.2,NN,O
,SEKSYEN,NN,O
,9,NN,O
,43200,NN,O
,CHERAS,NN,O
,GST,NN,O
,REG,NN,O
,NO:,NN,O
,001335787520,NN,O
,TAX,NN,O
,INVOICE,NN,O
,INV,NN,O
,NO.:,NN,O
,1219461,NN,O
,CASHIER:,NN,O
,THANDAR,NN,O
,DATE,NN,O
,:,NN,O
,30-06-2018,DT,B-date
,22:16:06,NN,O
,DESCRIPTION,NN,O
,QTY,NN,O
,U.PRICE,NN,O
,TOTAL,NN,O
,TAX,NN,O
,COKE,NN,O
,1,NN,O
,X,NN,O
,2.10,NN,O
,2.10,NN,O
,ZRL,NN,O
,SOYA,NN,O
,BEAN,NN,O
,1,NN,O
,X,NN,O
,2.10,NN,O
,2.10,NN,O
,ZRL,NN,O
,TOTAL,NN,O
,QTY:,NN,O
,2,NN,O
,TOTAL,NN,O
,(EXCLUDING,NN,O
,GST):,NN,O
,4.20,AM,B-amt
,TOTAL,NN,O
,(INCLUSIVE,NN,O
,OF,NN,O
,GST):,NN,O
,4.20,NN,O
,TOTAL:,NN,O
,4.20,NN,O
,CASH,NN,O
,:,NN,O
,4.20,NN,O
,GST,NN,O
,SUMMARY,NN,O
,AMOUNT(RM),NN,O
,TAX(RM),NN,O
,ZRL,NN,O
,(@,NN,O
,0%),NN,O
,4.20,NN,O
,0.00,NN,O
,,NN,O
Receipt: 9,HOLLYWOOD,MR,B-mer
,CAFE,MR,I-mer
,&,MR,I-mer
,SPORTS,MR,I-mer
,BAR,MR,I-mer
,AM,NN,O
,Dining,NN,O
,Rm,NN,O
,ate:,NN,O
,09/08/2017,NN,O
,Time:,NN,O
,12:,NN,O
,45:41,NN,O
,PM,NN,O
,check:,NN,O
,332114,NN,O
,Table:,NN,O
,42,NN,O
,overs:,NN,O
,2,NN,O
,Person#:,NN,O
,1,NN,O
,erver,NN,O
,#:,NN,O
,346,NN,O
,Opened:,NN,O
,12:,NN,O
,13:00,NN,O
,PM,NN,O
,SODA,NN,O
,2.49,NN,O
,CHEESE,NN,O
,STEAK,NN,O
,10.49,NN,O
,+AMERICAN,NN,O
,CHS,NN,O
,1.00,NN,O
,+FRD,NN,O
,ONION,NN,O
,0.75,NN,O
,Chix,NN,O
,Cheesesteak,NN,O
,10.49,NN,O
,SUB-TOTAL,NN,O
,25.22,NN,O
,Food,NN,O
,Tax,NN,O
,1.74,NN,O
,Liquor,NN,O
,Tax,NN,O
,0.00,NN,O
,Other,NN,O
,Taxes,NN,O
,0.00,NN,O
,Total,NN,O
,Tax,NN,O
,1.74,NN,O
,TOTAL,NN,O
,26.96,AM,B-amt
,THANK,NN,O
,YOU!,NN,O
Receipt: 10,LIGHTROOM,MR,B-mer
,GALLERY,MR,I-mer
,SDN,MR,I-mer
,BHD,MR,I-mer
,NO:,NN,O
,28,NN,O
,BANDAR,NN,O
,BUKIT,NN,O
,RAJA,NN,O
,KLANG,NN,O
,SELANGOR,NN,O
,D.E,NN,O
,ROC,NN,O
,NO.,NN,O
,:,NN,O
,(1072825-A),NN,O
,GST,NN,O
,NO.,NN,O
,:,NN,O
,000584089600,NN,O
,TEL:03-3362,NN,O
,4395,NN,O
,FAX:03-3362,NN,O
,4395,NN,O
,TAX,NN,O
,INVOICE,NN,O
,STATION:,NN,O
,CASHIER,NN,O
,BILL,NN,O
,NO:,NN,O
,LCS03908,NN,O
,CAS,NN,O
,R:,NN,O
,ANGELA,NN,O
,COVER,NN,O
,:,NN,O
,1,NN,O
,BILL,NN,O
,DATE,NN,O
,:,NN,O
,20/12/2017,DT,B-date
,BILL,NN,O
,START:,NN,O
,20/12/2017,NN,O
,07:10:35,NN,O
,PM,NN,O
,CODE,NN,O
,:,NN,O
,300-C0001,NN,O
,NAME,NN,O
,:,NN,O
,CASH,NN,O
,ADDRESS,NN,O
,:,NN,O
,:,NN,O
,:,NN,O
,GST,NN,O
,NO.,NN,O
,:,NN,O
,CH50514,NN,O
,SR,NN,O
,T5,NN,O
,JOINT,NN,O
,2PIN,NN,O
,2PCS,NN,O
,*,NN,O
,RM,NN,O
,2.83,NN,O
,UNI,NN,O
,(,NN,O
,0.17)=RM,NN,O
,2.83,NN,O
,1,NN,O
,YT51874,NN,O
,SR,NN,O
,YE30,NN,O
,BK,NN,O
,7W,NN,O
,WW,NN,O
,LED,NN,O
,TRACK,NN,O
,LIGHT,NN,O
,2,NN,O
,*,NN,O
,RM,NN,O
,33.02,NN,O
,UNI,NN,O
,(,NN,O
,3.96)=RM,NN,O
,66.04,NN,O
,SUB,NN,O
,TOTAL,NN,O
,:,NN,O
,RM,NN,O
,68.87,NN,O
,SERVICE,NN,O
,CHARGE,NN,O
,:,NN,O
,RM,NN,O
,0.00,NN,O
,GST/TAX,NN,O
,6%,NN,O
,:,NN,O
,RM,NN,O
,4.13,NN,O
,TO,NN,O
,:,NN,O
,RM,NN,O
,73.00,AM,B-amt
,CA,NN,O
,:,NN,O
,RM,NN,O
,73.00,NN,O
,CHANGE:,NN,O
,RM,NN,O
,0.00,NN,O
,ITEM,NN,O
,COUNT:,NN,O
,2,NN,O
,QTY,NN,O
,COUNT,NN,O
,:,NN,O
,3.0,NN,O
,CLOSED,NN,O
,BILL:,NN,O
,20/12/2017,NN,O
,07:10:51,NN,O
,PM,NN,O
,THANK,NN,O
,YOU,NN,O
,GOODS,NN,O
,SOLD,NN,O
,ARE,NN,O
,NOT,NN,O
,REFUNDABLE,NN,O
,BANK,NN,O
,ACC,NN,O
,MBB,NN,O
,5128,NN,O
,4851,NN,O
,2118,NN,O
,BANK,NN,O
,ACC,NN,O
,MBB,NN,O
,5626,NN,O
,4732,NN,O
,1744,NN,O
,BANK,NN,O
,ACC,NN,O
,AMBANK,NN,O
,888,NN,O
,100,NN,O
,123,NN,O
,3706,NN,O
,GST,NN,O
,SUMMARY,NN,O
,AMOUNT,NN,O
,(RM),NN,O
,TAX,NN,O
,(RM),NN,O
,SR,NN,O
,@,NN,O
,6%,NN,O
,68.87,NN,O
,4.13,NN,O
,ZR/OS/EZ,NN,O
,0.00,NN,O
,0.00,NN,O
,,NN,O
Receipt: 11,VIA,MR,B-mer
,EMILIA,MR,I-mer
,9,MR,I-mer
,1120,NN,O
,15TH,NN,O
,ST,NN,O
,MIAMI,NN,O
,BEACH,NN,O
,FL,NN,O
,33139,NN,O
,7862167150,NN,O
,ORDER:,NN,O
,Table,NN,O
,11,NN,O
,Cashier:,NN,O
,V.,NN,O
,27-Apr-2017,DT,B-date
,6:21:59P,NN,O
,1,NN,O
,Tagliatella,NN,O
,al,NN,O
,Ragu',NN,O
,$14.90,NN,O
,Cappellacci,NN,O
,Di,NN,O
,Zucca,NN,O
,$18.90,NN,O
,1,NN,O
,Stufato,NN,O
,Al,NN,O
,Latte,NN,O
,Di,NN,O
,Ravenna,NN,O
,$22.90,NN,O
,Subtotal,NN,O
,$56.70,NN,O
,Tax,NN,O
,$5.10,NN,O
,Total,NN,O
,$61.80,NN,O
,Order,NN,O
,QGVRTH3NM28YC,NN,O
,Show,NN,O
,us,NN,O
,your,NN,O
,review,NN,O
,on,NN,O
,TripAdvisor,NN,O
,or,NN,O
,Yelp,NN,O
,and,NN,O
,you'll,NN,O
,get,NN,O
,a,NN,O
,free,NN,O
,glass,NN,O
,of,NN,O
,wine!,NN,O
Receipt: 12,VERBENA,MR,B-mer
,CONFECTIONERY,MR,I-mer
,SDN,MR,I-mer
,BHD,MR,I-mer
,(774288-V),NN,O
,1,NN,O
,TMN,NN,O
,SUTERA,NN,O
,UTAMA,NN,O
,TEL,NN,O
,:,NN,O
,607-556,NN,O
,1878,NN,O
,GST,NN,O
,NO,NN,O
,:,NN,O
,001837056000,NN,O
,12/05/2018,DT,B-date
,15:16,NN,O
,QTY,NN,O
,B656954,NN,O
,AMOUNT,NN,O
,1,NN,O
,2,NN,O
,1,NN,O
,2,NN,O
,1,NN,O
,8",NN,O
,PANDAN,NN,O
,KAYA,NN,O
,CAKE,NN,O
,HOTDOG,NN,O
,BUN,NN,O
,OTA,NN,O
,BOAT,NN,O
,SPICY,NN,O
,CHICKEN,NN,O
,FLOSS,NN,O
,DIRTY,NN,O
,BREAD,NN,O
,55.00,NN,O
,T,NN,O
,5.60,NN,O
,T,NN,O
,3.50,NN,O
,T,NN,O
,5.80,NN,O
,T,NN,O
,5.80,NN,O
,T,NN,O
,7,NN,O
,TOTAL,NN,O
,75.70,AM,B-amt
,CASH,NN,O
,100.00,NN,O
,CHANGE,NN,O
,24.30,NN,O
,PRICES,NN,O
,INCLUSIVE,NN,O
,6%,NN,O
,GST,NN,O
,THANK,NN,O
,YOU.,NN,O
,PLEASE,NN,O
,COME,NN,O
,AGAIN.,NN,O
,GST,NN,O
,SUMMARY,NN,O
,T:6%,NN,O
,GST,NN,O
,Z:ZERO,NN,O
,RATED,NN,O
,1.,NN,O
,GOODS,NN,O
,SOLD,NN,O
,ARE,NN,O
,NOT,NN,O
,REFUNDABLE,NN,O
,OR,NN,O
,EXCHANGEABLE.,NN,O
,2.,NN,O
,OUR,NN,O
,PRODUCTS,NN,O
,CONTAIN,NN,O
,NO,NN,O
,ADDED,NN,O
,PRESERVATIVES,NN,O
,TIME:,NN,O
,15:16:11,NN,O
,CSH:109,NN,O
,DESCRIPTIONS,NN,O
,AMOUNT,NN,O
,TAX,NN,O
,71.42,NN,O
,4.28,NN,O
,0.00,NN,O
,0.00,NN,O
,POS:T002,NN,O
,SHF:201805121,NN,O
,,NN,O
Receipt: 13,BEMED,MR,B-mer
,(SP),MR,I-mer
,SDN.,MR,I-mer
,BHD.,MR,I-mer
,NO.49,NN,O
,SUBANG,NN,O
,PERDANA,NN,O
,40150,NN,O
,SHAH,NN,O
,ALAM,NN,O
,03-7845,NN,O
,8155,NN,O
,GST,NN,O
,REG,NN,O
,:,NN,O
,001734164480,NN,O
,CASH,NN,O
,RECEIPT,NN,O
,CB#,NN,O
,:,NN,O
,45976649320,NN,O
,25/FEB/2017,DT,B-date
,07:43:54,NN,O
,CASHIER,NN,O
,:,NN,O
,BE,NN,O
,(),NN,O
,QTY,NN,O
,CODE&DESC,NN,O
,PRICE,NN,O
,TOTAL,NN,O
,NH,NN,O
,DELICADERMA,NN,O
,PROTECTIVE,NN,O
,CR,NN,O
,50M,NN,O
,1,NN,O
,349000,NN,O
,76.00,NN,O
,76,NN,O
,SR,NN,O
,11-(BEPROGENT,NN,O
,CR,NN,O
,LS),NN,O
,30G,NN,O
,1,NN,O
,178032,NN,O
,10.00,NN,O
,10,NN,O
,ZRL,NN,O
,ALPHA,NN,O
,LIPID,NN,O
,LIFE,NN,O
,LINE,NN,O
,450MG,NN,O
,450G,NN,O
,1,NN,O
,184810,NN,O
,165.00,NN,O
,165,NN,O
,SR,NN,O
,3,NN,O
,TYPE:,NN,O
,3,NN,O
,SUBTOTAL:,NN,O
,251.00,NN,O
,CASH,NN,O
,PROMOTION,NN,O
,ROUNDING,NN,O
,ADJ,NN,O
,:,NN,O
,0.00,NN,O
,TOTAL,NN,O
,INCLUSIVE,NN,O
,GST:,NN,O
,217.00,AM,B-amt
,MASTER,NN,O
,217.00,NN,O
,GST,NN,O
,SUMMARY:,NN,O
,AMOUNT,NN,O
,TAX,NN,O
,(MYR),NN,O
,(MYR),NN,O
,SR,NN,O
,195.28,NN,O
,11.72,NN,O
,ZRL,NN,O
,10.00,NN,O
,0.00,NN,O
,ONG,NN,O
,GUAT,NN,O
,CHYE,NN,O
,POINTS,NN,O
,:,NN,O
,215,NN,O
,THANK,NN,O
,YOU.,NN,O
,PLEASE,NN,O
,COME,NN,O
,AGAIN.,NN,O
,34.00,NN,O
,,NN,O
Receipt: 14,SYARIKAT,MR,B-mer
,PERNIAGAAN,MR,I-mer
,GIN,MR,I-mer
,KEE,MR,I-mer
,(81109-A),NN,O
,NO,NN,O
,290,NN,O
,SETAPAK,NN,O
,53200,NN,O
,TEL,NN,O
,:,NN,O
,03-40210276,NN,O
,GST,NN,O
,ID,NN,O
,:,NN,O
,000750673920,NN,O
,SIMPLIFIED,NN,O
,TAX,NN,O
,INVOICE,NN,O
,CASH,NN,O
,DOC,NN,O
,NO.,NN,O
,GOODS,NN,O
,SOLD,NN,O
,ARE,NN,O
,NOT,NN,O
,RETURNABLE,NN,O
,CS00012727,NN,O
,DATE:,NN,O
,13/01/2018,DT,B-date
,CASHIER,NN,O
,0.36,NN,O
,USER,NN,O
,TIME:,NN,O
,15:53:00,NN,O
,SALESPERSON,NN,O
,:,NN,O
,REF.,NN,O
,:,NN,O
,ITEM,NN,O
,QTY,NN,O
,S/PRICE,NN,O
,AMOUNT,NN,O
,TAX,NN,O
,1432,NN,O
,3,NN,O
,2.12,NN,O
,6.36,AM,B-amt
,SR,NN,O
,GLOVE,NN,O
,1200,NN,O
,(PER,NN,O
,PAIR),NN,O
,TOTAL,NN,O
,QTY:,NN,O
,3,NN,O
,6.36,NN,O
,TOTAL,NN,O
,SALES,NN,O
,(EXCLUDING,NN,O
,GST),NN,O
,:,NN,O
,6.00,NN,O
,DISCOUNT,NN,O
,:,NN,O
,0.00,NN,O
,TOTAL,NN,O
,GST,NN,O
,:,NN,O
,0.36,NN,O
,ROUNDING,NN,O
,:,NN,O
,0.00,NN,O
,TOTAL,NN,O
,SALES,NN,O
,(INCLUSIVE,NN,O
,OF,NN,O
,GST),NN,O
,:,NN,O
,6.36,NN,O
,CASH,NN,O
,:,NN,O
